cust_id,총구매액,최대구매액,환불금액,주구매상품,주구매지점,내점일수,내점당구매건수,주말방문비율,구매주기,성별
3500,0.030516598131366826,0.031126879358753735,0.010615405180841945,3.0,9.0,13,1.4615384615384617,0.7894736842105263,26,1
3501,0.133665389238186,0.0545594262295082,0.12590316129387372,9.0,19.0,90,2.433333333333333,0.3698630136986301,3,0
3502,0.13139738969392437,0.02097296440539806,0.07999821766036469,0.0,8.0,101,14.623762376237623,0.0832769126607989,3,0
3503,0.0032666845034627543,0.007387238474775835,0.0,32.0,9.0,5,2.0,0.0,47,0
3504,0.0007708373006946911,0.001990025812879268,0.0,20.0,22.0,3,2.6666666666666665,0.125,8,1
3505,0.005593637848395127,0.003049712435467802,0.0,41.0,19.0,5,2.2,0.0,61,0
3506,0.18116909286565305,0.09894229462910968,0.10370595589757838,5.0,8.0,144,2.618055555555556,0.2493368700265252,2,0
3507,0.0004937208628017862,0.001623211212752468,0.0,21.0,11.0,1,1.0,0.0,0,0
3508,0.0020747467817825715,0.006821166560999909,0.0,41.0,18.0,1,1.0,0.0,0,0
3509,0.04768569163407904,0.027243059958337104,0.0604475245137227,0.0,5.0,28,3.321428571428572,0.3763440860215054,12,0
3510,0.04644047768642765,0.027826680101440085,0.07732732929511088,11.0,8.0,21,2.0,0.238095238095238,14,0
3511,0.0019348520298988917,0.006361233131056969,0.0019658157742299897,5.0,0.0,3,1.6666666666666667,0.6,2,0
3512,0.0010597608556465786,0.00038917444072094915,0.0007339045557125296,0.0,8.0,23,3.4347826086956523,0.0379746835443038,15,0
3513,0.023569889633844942,0.012152148808984692,0.0,5.0,11.0,30,2.3,0.0869565217391304,11,0
3514,0.0009432780285473707,0.0016561849017299156,0.0,20.0,0.0,3,3.333333333333333,0.5,112,1
3515,0.023283049434582648,0.016637136581831354,0.0,22.0,0.0,8,2.125,0.2941176470588235,29,0
3516,0.12949618127574003,0.05963426093650937,0.17871624366679684,11.0,6.0,23,2.9565217391304346,0.3970588235294117,12,0
3517,0.03273365015921938,0.029881521148446697,0.0,41.0,8.0,6,1.5,0.1111111111111111,39,0
3518,0.022933484733029613,0.04754296485825559,0.0,4.0,15.0,2,3.5,0.0,63,1
3519,0.010492192480354053,0.013578650031700026,0.0,36.0,8.0,2,2.5,1.0,46,1
3520,0.007428600720995168,0.011201147993841136,0.0,9.0,8.0,6,1.1666666666666667,0.2857142857142857,18,1
3521,0.029328827121065826,0.04244831763427226,0.0,13.0,9.0,5,1.6,0.375,31,0
3522,0.0007203934053923882,0.002368444887238475,0.0,4.0,9.0,1,1.0,0.0,0,1
3523,0.3260494827882257,0.044698453491531565,0.07431832061668951,5.0,8.0,103,4.349514563106796,0.2901785714285714,3,0
3524,0.012971428795506144,0.024050980436554657,0.0,22.0,8.0,5,2.0,0.4,53,0
3525,0.0024772132218171573,0.008144359659451136,0.0,2.0,18.0,1,1.0,1.0,0,1
3526,0.005635520184882148,0.01018221854904447,0.015527323528717947,22.0,10.0,5,2.8,0.1428571428571428,42,0
3527,0.008038567665931437,0.024050980436554657,0.0,8.0,15.0,2,1.5,0.3333333333333333,38,1
3528,0.0013636079522840266,0.002436939588805362,0.0,2.0,18.0,3,1.0,0.0,29,1
3529,0.001786778815597397,0.003530873562177339,0.0028255325394932387,37.0,11.0,2,2.5,0.0,3,0
3530,0.14527011948350496,0.032386389366905174,0.0,5.0,4.0,68,3.073529411764706,0.3492822966507177,5,0
3531,0.00259859882191315,0.005135687437732089,0.0,6.0,10.0,2,3.5,0.0,21,0
3532,0.022265562620728364,0.04096520922017933,0.09108279753932286,22.0,15.0,14,1.6428571428571428,0.1304347826086956,24,0
3533,0.01019055787302332,0.011076612172810432,0.0,34.0,11.0,13,4.076923076923077,0.3773584905660377,9,0
3534,0.00039623359078143003,0.0003665315641699121,0.0,0.0,11.0,4,2.75,0.0,50,0
3535,0.0036079932624276997,0.009333110678380581,0.0,23.0,8.0,1,3.0,0.0,0,1
3536,0.00510142354445978,0.012931205280318811,0.0,6.0,8.0,3,1.6666666666666667,0.0,23,0
3537,0.022036823940263787,0.03537241871207318,0.052959076957755924,3.0,3.0,3,3.0,0.2222222222222222,36,0
